Language accepted: Java1.7 Parser
Command line: ../../jplag_helper/test_files 
initialize ok
240 submissions

240 submissions parsed successfully!
0 parser errors!


Comparing 100e6263.java-c409f973.java: 60.95238
Comparing 100e6263.java-c40a78b9.java: 54.726368
Comparing 100e6263.java-c40a7cb1.java: 44.976078
Comparing 100e6263.java-c40aff9d.java: 66.02871
Comparing 100e6263.java-c4173659.java: 74.75728
Comparing 100e6263.java-c417aac1.java: 54.92228
Comparing 100e6263.java-c417aafb.java: 69.60784
Comparing 100e6263.java-c417aea1.java: 68.26923
Comparing 100e6263.java-c418269b.java: 32.743362
Comparing 100e6263.java-c4182efb.java: 66.666664
Comparing 100e6263.java-c41900d3.java: 71.204185
Comparing 100e6263.java-c41970f5.java: 65.43779
Comparing 100e6263.java-c4245659.java: 35.121952
Comparing 100e6263.java-c42465b7.java: 63.46154
Comparing 100e6263.java-c4247087.java: 20.576132
Comparing 100e6263.java-c4247157.java: 70.93596
Comparing 100e6263.java-c4253f93.java: 62.13592
Comparing 100e6263.java-c433755f.java: 60.550457
Comparing 100e6263.java-c44346d7.java: 68.0
Comparing 100e6263.java-c44352f5.java: 35.4067
Comparing 100e6263.java-c5762555.java: 60.576923
Comparing 100e6263.java-c595f40d.java: 65.11628
Comparing 100e6263.java-c595f7a9.java: 69.902916
Comparing 100e6263.java-c5b29371.java: 66.666664
Comparing 100e6263.java-c5becd8f.java: 66.666664
Comparing 100e6263.java-c5cde117.java: 60.0
Comparing 100e6263.java-c5dc59f5.java: 67.59259
Comparing 100e6263.java-c5dc6573.java: 56.756756
Comparing 100e6263.java-c5dc6879.java: 58.426968
Comparing 100e6263.java-c5dc779d.java: 45.581394
Comparing 100e6263.java-c5dce83d.java: 60.550457
Comparing 100e6263.java-c5e6dd25.java: 69.268295
Comparing 100e6263.java-c5e6e921.java: 52.173912
Comparing 100e6263.java-c5e6efe5.java: 53.731342
Comparing 100e6263.java-c5e749db.java: 68.59904
Comparing 100e6263.java-c5e7613d.java: 61.083744
Comparing 100e6263.java-c5e7d199.java: 42.574257
Comparing 100e6263.java-c5e7d1bb.java: 53.76344
Comparing 100e6263.java-c5e7d5df.java: 60.869564
Comparing 100e6263.java-c5e8465d.java: 67.94258
Comparing 100e6263.java-c5e8a359.java: 42.69663
Comparing 100e6263.java-c5e8ab97.java: 40.201004
Comparing 100e6263.java-c5e99c13.java: 71.77033
Comparing 100e6263.java-c5ea8439.java: 66.666664
Comparing 100e6263.java-c5ea8819.java: 67.98029
Comparing 100e6263.java-c5eae995.java: 24.203821
Comparing 100e6263.java-c5f4f579.java: 71.02804
Comparing 100e6263.java-c5f503e5.java: 74.25742
Comparing 100e6263.java-c5f64a5f.java: 62.162163
Comparing 100e6263.java-c5f65581.java: 63.106796
Comparing 100e6263.java-c5f73e3d.java: 37.931034
Comparing 100e6263.java-c5f836bd.java: 48.360657
Comparing 100e6263.java-c5f8a395.java: 68.59904
Comparing 100e6263.java-c72b7293.java: 69.565216
Comparing 100e6263.java-c72be9d5.java: 24.489796
Comparing 100e6263.java-c72c56d9.java: 59.482758
Comparing 100e6263.java-c72c6693.java: 63.414635
Comparing 100e6263.java-c72d47b1.java: 47.84689
Comparing 100e6263.java-c72e3731.java: 45.098038
Comparing 100e6263.java-c72f2433.java: 50.691246
Comparing 100e6263.java-c73991d7.java: 46.376812
Comparing 100e6263.java-c739ef2f.java: 66.34615
Comparing 100e6263.java-c739f671.java: 62.83186
Comparing 100e6263.java-c73a0539.java: 48.780487
Comparing 100e6263.java-c73a6f4f.java: 0.0
Comparing 100e6263.java-c73ae6d5.java: 50.86705
Comparing 100e6263.java-c73ae753.java: 77.48691
Comparing 100e6263.java-c73bc3cf.java: 56.108597
Comparing 100e6263.java-c7471e31.java: 69.268295
Comparing 100e6263.java-c74b4071.java: 45.744682
Comparing 100e6263.java-c74b442f.java: 66.34146
Comparing 100e6263.java-c771e3d7.java: 55.50239
Comparing 100e6263.java-c77f9621.java: 38.38384
Comparing 100e6263.java-c79ca9c1.java: 34.57944
Comparing 100e6263.java-c7ac2659.java: 68.965515
Comparing 100e6263.java-c8e30c8d.java: 54.12844
Comparing 100e6263.java-c8edf235.java: 66.666664
Comparing 100e6263.java-c8ee5e77.java: 74.25742
Comparing 100e6263.java-c8ee71ef.java: 70.833336
Comparing 100e6263.java-c8eec791.java: 35.555557
Comparing 100e6263.java-c8eecf51.java: 58.252426
Comparing 100e6263.java-c8eed2b3.java: 53.39806
Comparing 100e6263.java-c8eed693.java: 68.59904
Comparing 100e6263.java-c8eee1b5.java: 62.376236
Comparing 100e6263.java-c8ef4e53.java: 68.59904
Comparing 100e6263.java-c8ef4ed1.java: 69.565216
Comparing 100e6263.java-c8ef59db.java: 71.77033
Comparing 100e6263.java-c8efad25.java: 69.268295
Comparing 100e6263.java-c8f0a147.java: 45.320198
Comparing 100e6263.java-c8f12773.java: 51.20773
Comparing 100e6263.java-c8f17e07.java: 47.12042
Comparing 100e6263.java-c8f1f6c3.java: 50.25641
Comparing 100e6263.java-c8f1fd6f.java: 68.89952
Comparing 100e6263.java-c8fc1135.java: 65.71429
Comparing 100e6263.java-c8fc145d.java: 44.3038
Comparing 100e6263.java-c8fc75b7.java: 39.15344
Comparing 100e6263.java-c8fc7dd3.java: 57.67442
Comparing 100e6263.java-c8fc85b5.java: 53.39806
Comparing 100e6263.java-c8fcedf5.java: 63.157894
Comparing 100e6263.java-c8feaccf.java: 40.88398
Comparing 100e6263.java-c8fecb2f.java: 59.59596
Comparing 100e6263.java-c8feceb3.java: 40.59406
Comparing 100e6263.java-c8ff250d.java: 66.976746
Comparing 100e6263.java-c8ff37b5.java: 25.83732
Comparing 100e6263.java-c8ffb40d.java: 53.333332
Comparing 100e6263.java-c9002b93.java: 69.60784
Comparing 100e6263.java-c90b060f.java: 58.638744
Comparing 100e6263.java-c90b7619.java: 35.4067
Comparing 100e6263.java-c90beaf5.java: 28.402367
Comparing 100e6263.java-c90c6a19.java: 68.2243
Comparing 100e6263.java-c90cc7cd.java: 43.51852
Comparing 100e6263.java-c90dbf73.java: 50.76142
Comparing 100e6263.java-c90dcf2d.java: 36.082474
Comparing 100e6263.java-c90e288d.java: 66.99029
Comparing 100e6263.java-c918b435.java: 63.68159
Comparing 100e6263.java-c918b7db.java: 69.34673
Comparing 100e6263.java-c91adc4b.java: 60.663506
Comparing 100e6263.java-c91b542d.java: 65.470856
Comparing 100e6263.java-c91b576d.java: 37.563454
Comparing 100e6263.java-c91c47af.java: 53.731342
Comparing 100e6263.java-ce150f05.java: 0.0
Comparing 28e913dd.java-2a747371.java: 71.65775
Comparing 28e913dd.java-2c0d1dc7.java: 51.515152
Comparing 28e913dd.java-5a3d9d17.java: 38.356163
Comparing 28e913dd.java-62a7d00f.java: 77.09497
Comparing 28e913dd.java-8817f911.java: 80.0
Comparing 28e913dd.java-882778f3.java: 38.356163
Comparing 28e913dd.java-88410179.java: 62.2807
Comparing 28e913dd.java-89c0ad55.java: 78.947365
Comparing 28e913dd.java-8a143451.java: 58.895706
Comparing 28e913dd.java-8a2f7a59.java: 63.75
Comparing 28e913dd.java-8a30813b.java: 72.72727
Comparing 28e913dd.java-8b8148d7.java: 58.666668
Comparing 28e913dd.java-8d44b4f3.java: 92.73743
Comparing 28e913dd.java-8d7e6ffb.java: 42.92683
Comparing 28e913dd.java-8f21e915.java: 67.81609
Comparing 28e913dd.java-8f32d4b7.java: 60.17699
Comparing 28e913dd.java-8f4e1e21.java: 58.227848
Comparing 28e913dd.java-910eb659.java: 58.82353
Comparing 28e913dd.java-9247808b.java: 42.32804
Comparing 28e913dd.java-9440901d.java: 62.886597
Comparing 28e913dd.java-945d305b.java: 49.751244
Comparing 28e913dd.java-946bb819.java: 28.571428
Comparing 28e913dd.java-946c247d.java: 43.67816
Comparing 28e913dd.java-947c1517.java: 56.47059
Comparing 28e913dd.java-95cdbe4f.java: 73.91304
Comparing 28e913dd.java-95f9044f.java: 95.454544
Comparing 28e913dd.java-96127d8f.java: 46.72131
Comparing 28e913dd.java-96144e15.java: 46.067417
Comparing 28e913dd.java-9763b971.java: 73.91304
Comparing 28e913dd.java-978f54f1.java: 25.454546
Comparing 28e913dd.java-97c84219.java: 46.357616
Comparing 28e913dd.java-bcf1916b.java: 54.867256
Comparing 28e913dd.java-bcfc055f.java: 41.11111
Comparing 28e913dd.java-bcffb359.java: 0.0
Comparing 28e913dd.java-bd002019.java: 64.39024
Comparing 28e913dd.java-bd0c4ff9.java: 92.655365
Comparing 28e913dd.java-bd0e2cef.java: 78.65169
Comparing 28e913dd.java-bd1b5c13.java: 46.80851
Comparing 28e913dd.java-bd26ad7f.java: 43.010754
Comparing 28e913dd.java-bd272d95.java: 76.8421
Comparing 28e913dd.java-bd290a17.java: 74.86034
Comparing 28e913dd.java-bd361e77.java: 79.09605
Comparing 28e913dd.java-bd467ff5.java: 69.518715
Comparing 28e913dd.java-be464b35.java: 73.14286
Comparing 28e913dd.java-bea3aee1.java: 68.31683
Comparing 28e913dd.java-becf4ebf.java: 65.4321
Comparing 28e913dd.java-becf5af5.java: 78.16092
Comparing 28e913dd.java-bed0252f.java: 58.695652
Comparing 28e913dd.java-bed11d6b.java: 57.446808
Comparing 28e913dd.java-bed12071.java: 62.7027
Comparing 28e913dd.java-bed127bd.java: 75.55556
Comparing 28e913dd.java-bedb8d7f.java: 66.27907
Comparing 28e913dd.java-bedce697.java: 40.0
Comparing 28e913dd.java-bede4831.java: 86.81319
Comparing 28e913dd.java-bee9b3e3.java: 50.74627
Comparing 28e913dd.java-beea253b.java: 58.974358
Comparing 28e913dd.java-beea9d1d.java: 50.0
Comparing 28e913dd.java-beea9d57.java: 88.39779
Comparing 28e913dd.java-beeaa4dd.java: 84.33735
Comparing 28e913dd.java-beeaf6b7.java: 26.923077
Comparing 28e913dd.java-beeaf757.java: 68.888885
Comparing 28e913dd.java-beeb761f.java: 42.0
Comparing 28e913dd.java-beebe013.java: 74.72527
Comparing 28e913dd.java-beebe2f7.java: 44.295303
Comparing 28e913dd.java-befa8db7.java: 54.65116
Comparing 28e913dd.java-bf05e6e3.java: 54.45026
Comparing 28e913dd.java-bf05ea67.java: 78.04878
Comparing 28e913dd.java-bf06485f.java: 90.90909
Comparing 28e913dd.java-bf08fb39.java: 49.72973
Comparing 28e913dd.java-bf0902f9.java: 68.85246
Comparing 28e913dd.java-bf0911fb.java: 89.28571
Comparing 28e913dd.java-bf218b79.java: 88.764046
Comparing 28e913dd.java-c05bb295.java: 39.361702
Comparing 28e913dd.java-c07441fb.java: 77.89474
Comparing 28e913dd.java-c0923759.java: 52.12766
Comparing 28e913dd.java-c0923edf.java: 60.674156
Comparing 28e913dd.java-c093a75f.java: 69.411766
Comparing 28e913dd.java-c0ac8a19.java: 62.365593
