Language accepted: Java1.7 Parser
Command line: ../../jplag_helper/test_files 
initialize ok
197 submissions

197 submissions parsed successfully!
0 parser errors!


Comparing 100e6263.java-c5dc6573.java: 0.0
Comparing 100e6263.java-c5dc6879.java: 0.0
Comparing 100e6263.java-c5dc779d.java: 23.364487
Comparing 100e6263.java-c5e6e921.java: 0.0
Comparing 100e6263.java-c5e749db.java: 22.047245
Comparing 100e6263.java-c5e7551f.java: 8.724833
Comparing 100e6263.java-c5e7613d.java: 11.4832535
Comparing 100e6263.java-c5e7d199.java: 9.803922
Comparing 100e6263.java-c5e7d5df.java: 0.0
Comparing 100e6263.java-c5e8465d.java: 0.0
Comparing 100e6263.java-c5e99c13.java: 10.666667
Comparing 100e6263.java-c5ea8819.java: 0.0
Comparing 100e6263.java-c5f4f579.java: 11.627907
Comparing 100e6263.java-c5f503e5.java: 0.0
Comparing 100e6263.java-c5f65581.java: 21.311476
Comparing 100e6263.java-c5f73e3d.java: 9.302325
Comparing 100e6263.java-c5f8a395.java: 0.0
Comparing 100e6263.java-c5f8fd73.java: 0.0
Comparing 100e6263.java-c5f91ed9.java: 0.0
Comparing 100e6263.java-c72b7293.java: 18.181818
Comparing 100e6263.java-c72c56d9.java: 9.821428
Comparing 100e6263.java-c72c5b71.java: 6.122449
Comparing 100e6263.java-c72d47b1.java: 0.0
Comparing 100e6263.java-c72e3731.java: 7.518797
Comparing 100e6263.java-c72f2433.java: 0.0
Comparing 100e6263.java-c73991d7.java: 0.0
Comparing 100e6263.java-c739ef2f.java: 7.017544
Comparing 100e6263.java-c739f671.java: 14.83871
Comparing 100e6263.java-c73a6f4f.java: 0.0
Comparing 100e6263.java-c73ae6d5.java: 8.411215
Comparing 100e6263.java-c73bc3cf.java: 7.310705
Comparing 100e6263.java-c7471e31.java: 7.1942444
Comparing 100e6263.java-c74b4071.java: 8.906882
Comparing 100e6263.java-c74b442f.java: 8.536586
Comparing 100e6263.java-c771e3d7.java: 8.724833
Comparing 100e6263.java-c77f9621.java: 0.0
Comparing 100e6263.java-c79ca9c1.java: 7.428571
Comparing 100e6263.java-c7ac2659.java: 0.0
Comparing 100e6263.java-c8e30c8d.java: 16.551723
Comparing 100e6263.java-c8eddad3.java: 16.254417
Comparing 100e6263.java-c8edf235.java: 0.0
Comparing 100e6263.java-c8ee5e77.java: 0.0
Comparing 100e6263.java-c8eec377.java: 0.0
Comparing 100e6263.java-c8eec791.java: 5.5555553
Comparing 100e6263.java-c8eed2b3.java: 0.0
Comparing 100e6263.java-c8ef4e53.java: 9.122807
Comparing 100e6263.java-c8ef4ed1.java: 22.87823
Comparing 100e6263.java-c8efad25.java: 6.4935064
Comparing 100e6263.java-c8f0a147.java: 0.0
Comparing 100e6263.java-c8f12773.java: 9.489051
Comparing 100e6263.java-c8f17e07.java: 8.372093
Comparing 100e6263.java-c8f18209.java: 0.0
Comparing 100e6263.java-c8f1f6c3.java: 9.486166
Comparing 100e6263.java-c8f1fd6f.java: 8.810573
Comparing 100e6263.java-c8fc1135.java: 0.0
Comparing 100e6263.java-c8fc75b7.java: 12.030075
Comparing 100e6263.java-c8fc7dd3.java: 8.259587
Comparing 100e6263.java-c8fc85b5.java: 8.163265
Comparing 100e6263.java-c8feaccf.java: 0.0
Comparing 100e6263.java-c8fecb2f.java: 0.0
Comparing 100e6263.java-c8feceb3.java: 0.0
Comparing 100e6263.java-c8fecf31.java: 0.0
Comparing 100e6263.java-c8ff250d.java: 6.8601584
Comparing 100e6263.java-c8ff37b5.java: 0.0
Comparing 100e6263.java-c8ffb40d.java: 7.647059
Comparing 100e6263.java-c9002b93.java: 6.134969
Comparing 100e6263.java-c90b060f.java: 9.448819
Comparing 100e6263.java-c90b7619.java: 9.448819
Comparing 100e6263.java-c90dbf73.java: 7.857143
Comparing 100e6263.java-c90dcf2d.java: 0.0
Comparing 100e6263.java-c90e288d.java: 13.6
Comparing 100e6263.java-c9183895.java: 0.0
Comparing 100e6263.java-c918b435.java: 9.285714
Comparing 100e6263.java-c918b7db.java: 7.6923075
Comparing 100e6263.java-c91adc4b.java: 17.254902
Comparing 100e6263.java-c91b542d.java: 22.627737
Comparing 100e6263.java-ce150f05.java: 0.0
Comparing 28e913dd.java-2a5a8e11.java: 12.258064
Comparing 28e913dd.java-2a747371.java: 0.0
Comparing 28e913dd.java-2c0d1dc7.java: 0.0
Comparing 28e913dd.java-2dd1758d.java: 15.827338
Comparing 28e913dd.java-5394e6b5.java: 0.0
Comparing 28e913dd.java-5a3e7273.java: 39.525692
Comparing 28e913dd.java-624d42d9.java: 16.793894
Comparing 28e913dd.java-8817f911.java: 22.314049
Comparing 28e913dd.java-882778f3.java: 23.71134
Comparing 28e913dd.java-88410179.java: 13.134328
Comparing 28e913dd.java-88424efb.java: 9.160305
Comparing 28e913dd.java-89c0ad55.java: 7.2727275
Comparing 28e913dd.java-8a30813b.java: 16.033754
Comparing 28e913dd.java-8b8148d7.java: 13.392858
Comparing 28e913dd.java-8d44b4f3.java: 8.955224
Comparing 28e913dd.java-8f24bd8f.java: 28.193832
Comparing 28e913dd.java-8f32bdd3.java: 6.451613
Comparing 28e913dd.java-8f32d4b7.java: 31.37255
Comparing 28e913dd.java-9247808b.java: 30.30303
Comparing 28e913dd.java-944415a9.java: 9.495549
Comparing 28e913dd.java-946c247d.java: 13.461538
Comparing 28e913dd.java-947c1517.java: 15.0
Comparing 28e913dd.java-95cdbe4f.java: 20.618557
Comparing 28e913dd.java-9605beb9.java: 10.5
Comparing 28e913dd.java-9763b971.java: 0.0
Comparing 28e913dd.java-97c84219.java: 17.54386
Comparing 28e913dd.java-bcf1916b.java: 38.61004
Comparing 28e913dd.java-bcfc055f.java: 19.243986
Comparing 28e913dd.java-bcfce2f9.java: 16.342413
Comparing 28e913dd.java-bd0e2cef.java: 17.5
Comparing 28e913dd.java-bd1a059b.java: 0.0
Comparing 28e913dd.java-bd1b5c13.java: 14.4262295
Comparing 28e913dd.java-bd272d95.java: 16.309013
Comparing 28e913dd.java-bd35543d.java: 0.0
Comparing 28e913dd.java-bd467ff5.java: 22.018349
Comparing 28e913dd.java-bea3aee1.java: 11.285267
Comparing 28e913dd.java-becf4ebf.java: 9.523809
Comparing 28e913dd.java-becf5af5.java: 8.196721
Comparing 28e913dd.java-bed12071.java: 6.535948
Comparing 28e913dd.java-bedb8d7f.java: 0.0
Comparing 28e913dd.java-bedbfa3f.java: 15.277778
Comparing 28e913dd.java-bede4831.java: 8.888889
Comparing 28e913dd.java-bee9b3e3.java: 7.3825502
Comparing 28e913dd.java-beea9d1d.java: 8.1081085
Comparing 28e913dd.java-beea9d57.java: 7.9681277
Comparing 28e913dd.java-beeaa4dd.java: 18.064516
Comparing 28e913dd.java-beeaf757.java: 16.733068
Comparing 28e913dd.java-befa8db7.java: 11.881188
Comparing 28e913dd.java-befaef8f.java: 0.0
Comparing 28e913dd.java-befb54d3.java: 8.0
Comparing 28e913dd.java-befb602f.java: 11.290322
Comparing 28e913dd.java-bf05e6e3.java: 0.0
Comparing 28e913dd.java-bf06485f.java: 7.5471697
Comparing 28e913dd.java-bf0911fb.java: 6.3694267
Comparing 28e913dd.java-bf218b79.java: 9.132421
Comparing 28e913dd.java-c05bb295.java: 21.12676
Comparing 28e913dd.java-c07441fb.java: 24.460432
Comparing 28e913dd.java-c0923759.java: 15.909091
